ISO3,country,bii_mean,bii_logit_mean,bii_logit_se,n_langs,log_n_langs
SPM,St. Pierre & Miquelon,0.9677632451057434,3.401881145613073,7.040247177170517e-4,1,0
VCT,St. Vincent & Grenadines,NA,NA,NA,1,0
SDN,Sudan,0.6929936647415161,0.8141664410302152,0.00425366794967972,104,4.6443908991413725
SUR,Suriname,0.9923333287239074,4.863904265020609,0.019167533408637485,21,3.044522437723423
SJM,Svalbard & Jan Mayen,0.868254554271698,1.8856133176617595,1.2153359011196884e-6,3,1.0986122886681098
SWE,Sweden,0.9548189282417298,3.0512153868348117,0.01424208286681596,20,2.995732273553991
CHE,Switzerland,0.641719651222229,0.5829568324384629,0.014529950165809468,19,2.9444389791664403
SYR,Syria,0.594719409942627,0.3835159000590573,0.003922850248273605,21,3.044522437723423
STP,São Tomé & Príncipe,0.8561496257781982,1.7836917525013387,0.0037742887046007464,4,1.3862943611198906
TJK,Tajikistan,0.7738320112228394,1.2307188119737373,0.02423649858521426,21,3.044522437723423
TZA,Tanzania,0.7625420451164245,1.167094714260909,0.020199915219355734,149,5.003946305945459
THA,Thailand,0.6418770313262939,0.5835404313850184,0.005971864658942069,83,4.418840607796598
TLS,Timor-Leste,0.7248592019081116,0.9687722906472048,0.00929972895223481,23,3.1354942159291497
TGO,Togo,0.5458194136619567,0.18382387043228865,0.013118557187483048,52,3.9512437185814275
TON,Tonga,NA,NA,NA,4,1.3862943611198906
TTO,Trinidad & Tobago,0.922499668598175,2.489233100478866,0.08802918632274728,5,1.6094379124341003
TUN,Tunisia,0.6893970251083374,0.7973168137800599,0.0044453635857556115,12,2.4849066497880004
TUR,Turkey,0.7672283172607421,1.1934198961361866,0.025456676820855555,60,4.0943445622221
TKM,Turkmenistan,0.6733444571495056,0.7233852355602814,0.0070261528001097405,12,2.4849066497880004
TCA,Turks & Caicos Islands,0.9789255857467651,3.8387502862233878,0.01359505341764634,1,0
VIR,U.S. Virgin Islands,NA,NA,NA,2,0.6931471805599453
UGA,Uganda,0.558461356163025,0.23497284359022916,0.014946387667943612,60,4.0943445622221
UKR,Ukraine,0.5766191482543945,0.3090810895856324,0.023699618878979742,31,3.4339872044851463
ARE,United Arab Emirates,1,4.595119850134589,0,6,1.791759469228055
